repo,language,fileCount,rawTokens,finalTokens,reductionPct,coverageGrade,coveragePct,healthScore,healthGrade,hitAt5,mrr,tasks
actix-web,Rust,314,612675,15867,97.4,C,67.49116607773851,100,A,,,0
afnetworking,Unknown,4,14143,502,96.5,D,21.21212121212121,100,A,,,0
aider-code,Python,106,228779,9365,95.9,B,86.73469387755102,100,A,,,0
aiohttp,Python,167,786173,41673,94.7,A,92.63803680981594,100,A,,,0
akka,Scala,3237,4591961,103741,97.7,C,65.11936339522546,100,A,60,0.333,5
alamofire,Swift,444,4711866,20134,99.6,C,70.47619047619048,100,A,,,0
alamofireimage,Swift,123,574015,4498,99.2,C,55.55555555555556,100,A,,,0
algorand-blockchain,Go,1494,4605191,164250,96.4,C,61.482381530984206,100,A,,,0
amethyst-engine,Rust,324,496742,25247,94.9,B,84.36213991769547,100,A,,,0
amplify-cli,TypeScript,1621,2774071,181599,93.5,C,67.26998491704374,100,A,,,0
android-arch,Kotlin,55,53777,4041,92.5,C,71.42857142857143,100,A,,,0
angular,TypeScript,7847,6347278,191706,97,D,31.1488805360353,100,A,,,0
ansible,Python,2079,2617672,180379,93.1,C,69.34742647058823,100,A,,,0
apache-httpd,Unknown,881,3250578,94374,97.1,B,76.1485826001955,100,A,,,0
appium,TypeScript,269,506086,37194,92.7,C,71.74721189591078,100,A,,,0
arangodb,Unknown,18524,9061336,171956,98.1,D,39.27683615819209,100,A,,,0
asciidoctor,Ruby,60,195006,4547,97.7,B,80.64516129032258,100,A,,,0
aspnetcore,CSharp,11463,15192175,155044,99,D,18.180229000961454,100,A,,,0
autoconf,Unknown,25,282176,1613,99.4,A,100,100,A,,,0
automake,Unknown,1296,910253,31659,96.5,A,100,100,A,,,0
avro-codec,Java,724,1408295,58406,95.9,B,76.32978723404256,100,A,,,0
aws-cdk,TypeScript,8335,197987901,191880,99.9,D,15.892157615792305,100,A,,,0
axios,JavaScript,215,94611,5309,94.4,D,27.77777777777778,100,A,40,0.42,5
axum,Rust,310,299960,8401,97.2,D,47.67932489451477,100,A,,,0
azure-sdk-js,TypeScript,27011,393257,13912,96.5,D,34.8122866894198,100,A,,,0
babel,JavaScript,609,1712787,44526,97.4,C,50.55624227441285,100,A,,,0
bat,Rust,127,346377,10572,96.9,C,55.55555555555556,100,A,,,0
bats,Python,9,39955,2913,92.7,B,81.63265306122449,100,A,,,0
bazel,Java,1535,3384855,132198,96.1,B,84.41358024691358,100,A,,,0
bevy-engine,Rust,1449,4843466,153131,96.8,B,83.4755624515128,100,A,,,0
bgfx-graphics,Unknown,1305,9388251,166645,98.2,C,56.95284159613059,100,A,,,0
binance-connector,Python,2015,3120207,233231,92.5,A,91.42992424242425,100,A,,,0
bitcoin-core,Unknown,1055,3140327,130205,95.9,C,73.67986798679867,100,A,,,0
bitnami-containers,Python,2137,3993222,152803,96.2,C,64.06176883481515,100,A,,,0
bloc,Dart,738,165240,10262,93.8,B,77.92207792207793,100,A,,,0
bootstrap,JavaScript,324,180986,9029,95,C,68.33976833976834,100,A,,,0
bubbletea,Go,111,107807,8820,91.8,A,97.2972972972973,100,A,,,0
builder.io,TypeScript,986,918795,52200,94.3,C,50.229809586342746,100,A,,,0
cabal,Unknown,36,6835,683,90,C,50,100,A,,,0
caddy-server,Go,342,859633,36875,95.7,A,96.95121951219512,100,A,,,0
capnproto,Unknown,214,1706441,26468,98.4,A,90.98360655737704,100,A,,,0
cardano-blockchain,Unknown,267,970309,13432,98.6,C,73.80952380952381,100,A,,,0
cargo-rust,Rust,365,1190715,35375,97,B,84.18079096045197,100,A,,,0
ccxt,TypeScript,3985,47529752,178645,99.6,D,35.92375366568915,100,A,,,0
celery,Python,427,869208,43401,95,B,82.53588516746412,100,A,,,0
chapel-lang,Unknown,12385,75128606,167605,99.8,D,7.451142876873145,100,A,,,0
charts-swift,Swift,206,255469,7751,97,B,79.57446808510639,100,A,,,0
chef,Ruby,1825,1737438,62647,96.4,C,61.03746397694525,100,A,,,0
chroma-db,Rust,1049,3538969,110905,96.9,C,74.05452946350044,100,A,,,0
